Designator,Mid X,Mid Y,Rotation,Layer
_537,425.976,-85.471,0.0,top
_536,21.191,-433.832,180.0,top
_535,84.092025,-314.52435,180.0,top
_534,34.59835,-318.33435,180.0,top
_533,283.827,-226.441,180.0,top
_532,225.787675,-85.3617,0.0,top
_531,132.02565,-160.274,0.0,top
_530,181.591675,-62.04835,0.0,top
_529,102.108,-61.92135,0.0,top
_528,288.090325,-85.27165,0.0,top
_527,397.96365,-169.85365,0.0,top
_526,132.007325,-252.476,0.0,top
_525,147.392675,-416.25135,180.0,top
_524,377.11735,-318.516,180.0,top
_523,55.263,-84.963,0.0,top
_522,271.707325,-78.15965,0.0,top
_521,279.200325,-85.39865,0.0,top
_520,321.673,-225.933,180.0,top
_519,383.721325,-69.088,0.0,top
_518,258.408675,-325.55565,180.0,top
_517,447.911,-421.386,180.0,top
_516,94.941675,-432.943,180.0,top
_515,215.138,-224.917,0.0,top
_514,258.172675,-68.9787,0.0,top
_513,286.367,-226.441,180.0,top
_512,132.860025,-329.38335,180.0,top
_511,172.357,-245.745,0.0,top
_510,297.288975,-176.7663,0.0,top
_509,334.953325,-74.422,0.0,top
_508,62.41135,-318.20735,180.0,top
_507,335.897,-434.14065,180.0,top
_506,446.73165,-160.58265,0.0,top
_505,131.971,-68.77935,0.0,top
_504,43.797,-432.943,180.0,top
_503,132.987025,-306.14235,180.0,top
_502,179.741025,-341.7747,180.0,top
_501,305.289675,-341.884,180.0,top
_500,288.072325,-62.03065,0.0,top
_499,69.77735,-341.06735,180.0,top
_498,271.888975,-146.4133,0.0,top
_497,307.194975,-153.6523,0.0,top
_496,258.590325,-397.7463,180.0,top
_495,305.29,-226.441,180.0,top
_494,272.905,-232.664,180.0,top
_493,414.292,-85.471,0.0,top
_492,271.634975,-181.3383,0.0,top
_491,377.135675,-226.314,180.0,top
_490,19.88465,-188.64965,0.0,top
_489,97.554025,-318.33435,180.0,top
_488,414.34665,-176.96565,0.0,top
_487,431.47335,-318.84235,180.0,top
_486,384.665,-417.24965,180.0,top
_485,70.03135,-313.76235,180.0,top
_484,384.538,-440.49065,180.0,top
_483,272.905,-242.824,180.0,top
_482,242.062,-224.917,0.0,top
_481,146.068,-273.431,0.0,top
_480,132.914675,-420.878,180.0,top
_479,83.38465,-153.924,0.0,top
_478,146.285675,-54.80935,0.0,top
_477,426.03065,-176.96565,0.0,top
_476,160.854675,-410.02835,180.0,top
_475,447.72935,-341.57535,180.0,top
_474,384.48335,-348.996,180.0,top
_473,147.338025,-314.7237,180.0,top
_472,272.905,-222.631,180.0,top
_471,121.085325,-268.859,0.0,top
_470,300.409325,-62.15765,0.0,top
_469,147.338025,-312.1837,180.0,top
_468,238.161325,-153.74235,0.0,top
_467,20.13865,-146.10465,0.0,top
_466,194.926675,-68.77935,0.0,top
_465,36.34,-84.963,0.0,top
_464,383.775975,-190.93565,0.0,top
_463,335.84235,-324.866,180.0,top
_462,104.847675,-409.829,180.0,top
